,닻과돛_해자기업형,닻과돛_NASDAQ프록시,S&P500_100
1990-01-02,0.0,0.0,0.0
1990-01-03,-0.0015521226106662844,-0.0015521226106662844,-0.002585539407458759
1990-01-04,-0.0016682584887132146,-0.0016682584887132146,-0.011176260075025812
1990-01-05,0.0,0.0,-0.02082345960003462
1990-01-08,0.0,0.0,-0.016402996626088906
1990-01-09,-0.0024477171165048217,-0.0024477171165047107,-0.027996350345764975
1990-01-10,-0.003446140227429173,-0.003446140227429173,-0.034418540406413345
1990-01-11,-0.0026997252550934325,-0.0026997252550930995,-0.031026727421836542
1990-01-12,-0.007510233218732676,-0.007510233218732565,-0.05493622183408842
1990-01-15,-0.010502187276222652,-0.010502187276222319,-0.06308210483304266
1990-01-16,-0.009452606355882742,-0.009452606355882631,-0.05265646059898921
1990-01-17,-0.01245113969830891,-0.012451139698308689,-0.061970053083565624
1990-01-18,-0.011182525665362819,-0.011182525665362819,-0.05977369360857432
1990-01-19,-0.011726940896005456,-0.011726940896005345,-0.05710475244100721
1990-01-22,-0.021328003742999035,-0.021328003742998924,-0.08148682854583444
1990-01-23,-0.02088099287966083,-0.02088099287966083,-0.0780672715372952
1990-01-24,-0.015534408900164776,-0.015534408900164554,-0.0818204355862665
1990-01-25,-0.019724456142509394,-0.019724456142509172,-0.0934416181740153
1990-01-26,-0.021284550531424973,-0.02128455053142475,-0.09422006288306017
1990-01-29,-0.023309966893981682,-0.023309966893981682,-0.0958880980852207
1990-01-30,-0.030114450565779105,-0.030114450565779105,-0.10206008286554502
1990-01-31,-0.02794892920305936,-0.027948929203059025,-0.08510110278677241
1990-02-01,-0.025589185350009647,-0.025589185350009425,-0.08590729151978016
1990-02-02,-0.02009918390459975,-0.020099183904599638,-0.0799855120197801
1990-02-05,-0.013957184215103058,-0.013957184215102836,-0.07739997261232112
1990-02-06,-0.01596050482735456,-0.015960504827354227,-0.08348855563253732
1990-02-07,-0.011445913941204866,-0.011445913941204644,-0.07211766316922252
1990-02-08,-0.015254024983547887,-0.015254024983547887,-0.07431402264421416
1990-02-09,-0.015761023748176006,-0.015761023748175562,-0.07247909907772732
1990-02-12,-0.015143078790628595,-0.01514307879062815,-0.08232093099102489
1990-02-13,-0.016199121396854643,-0.016199121396854532,-0.07970756271549329
1990-02-14,-0.018026447310204086,-0.018026447310203864,-0.07695513494370843
1990-02-15,-0.013826702777836042,-0.01382670277783582,-0.06894822659689759
1990-02-16,-0.014396121200357714,-0.014396121200357381,-0.0749812367250785
1990-02-20,-0.016070130328794785,-0.016070130328794674,-0.08813147986284442
1990-02-21,-0.01796349999932667,-0.017963499999326338,-0.08902107035595996
1990-02-22,-0.01853196647036981,-0.018531966470369587,-0.09449801218734732
1990-02-23,-0.022678597228283026,-0.022678597228282915,-0.09880732937722225
1990-02-26,-0.024595128277096756,-0.024595128277096423,-0.08624089856021233
1990-02-27,-0.025952000145448628,-0.025952000145448628,-0.08182043558626706
1990-02-28,-0.023000451996741722,-0.0230004519967415,-0.07728874198414082
1990-03-01,-0.02277049651882801,-0.022770496518827787,-0.07492566383304333
1990-03-02,-0.02034622327210167,-0.02034622327210156,-0.06714113189848392
1990-03-05,-0.022233603995434392,-0.02223360399543417,-0.0721454920372957
1990-03-06,-0.018737678695109006,-0.018737678695109006,-0.060496565425584015
1990-03-07,-0.022130940782062458,-0.022130940782062347,-0.0632210794851864
1990-03-08,-0.018446473945083808,-0.018446473945083697,-0.05399097360482796
1990-03-09,-0.019169414082039204,-0.019169414082039204,-0.060496565425584015
1990-03-12,-0.01768490086329788,-0.01768490086329777,-0.05843918060273612
1990-03-13,-0.02234905885613203,-0.0223490588561317,-0.06586227662879085
1990-03-14,-0.019772129616106193,-0.019772129616106304,-0.06344354074154801
1990-03-15,-0.017496858730131404,-0.017496858730131182,-0.06010730064900671
1990-03-16,-0.013013895495572969,-0.013013895495572747,-0.0494314511346291
1990-03-19,-0.01112460377225033,-0.011124603772250219,-0.04492758640057548
1990-03-20,-0.01532225069551807,-0.015322250695517847,-0.05037669936388989
1990-03-21,-0.021678894493428746,-0.021678894493428524,-0.05546446126280968
1990-03-22,-0.025776513205263196,-0.025776513205262974,-0.06672412309794384
1990-03-23,-0.02215927761825831,-0.02215927761825831,-0.06247046364421427
1990-03-26,-0.0380730947093354,-0.038073094709335065,-0.0613305830266645
1990-03-27,-0.039085731751096864,-0.03908573175109664,-0.05057133175217876
1990-03-28,-0.03845357409092365,-0.03845357409092354,-0.049181245854305056
1990-03-29,-0.039890560193050595,-0.039890560193050595,-0.052545229970808904
1990-03-30,-0.04198545613852256,-0.04198545613852234,-0.05490839296601646
1990-04-02,-0.04386128529343469,-0.04386128529343458,-0.058355778842628436
1990-04-03,-0.03495125122842646,-0.03495125122842624,-0.04462172338410619
1990-04-04,-0.03744297790358586,-0.03744297790358586,-0.05171121236972864
1990-04-05,-0.035988355056205235,-0.0359883550562049,-0.052712033491024934
1990-04-06,-0.03863392339135807,-0.03863392339135796,-0.054519213033548786
1990-04-09,-0.03979660212788716,-0.03979660212788694,-0.05093276766068355
1990-04-10,-0.039380398609447864,-0.039380398609447864,-0.04898661346601618
1990-04-11,-0.0384521514253956,-0.03845215142539549,-0.04940362226655648
1990-04-12,-0.03521019869679898,-0.035210198696798756,-0.04267565403354878
1990-04-16,-0.034605136577481654,-0.03460513657748154,-0.041563602284071965
1990-04-17,-0.03679159830101186,-0.03679159830101153,-0.041730405804287884
1990-04-18,-0.0395481328571603,-0.03954813285715997,-0.05273986235909778
1990-04-19,-0.040902723457250656,-0.040902723457250545,-0.06005172775697176
1990-04-20,-0.04342626265232319,-0.043426262652322856,-0.06830884138410653
1990-04-23,-0.0487397225324695,-0.0487397225324695,-0.07962416095538594
1990-04-24,-0.048295240744954615,-0.048295240744954504,-0.0815424862819808
1990-04-25,-0.05102255531171329,-0.05102255531171307,-0.07689956205167381
1990-04-26,-0.05041161917985315,-0.05041161917985293,-0.07442516842828573
1990-04-27,-0.05303528490705034,-0.05303528490705034,-0.0850177010266654
1990-04-30,-0.05390193642068963,-0.05390193642068952,-0.08031920390432312
1990-05-01,-0.05096521805978105,-0.05096521805978105,-0.0762879208628452
1990-05-02,-0.049349722634298376,-0.04934972263429793,-0.07008810721444847
1990-05-03,-0.04749789302979379,-0.04749789302979357,-0.06705773013837657
1990-05-04,-0.04360815099158055,-0.04360815099158044,-0.059217625311781874
1990-05-07,-0.04115853144754622,-0.04115853144754611,-0.053268101787819044
1990-05-08,-0.041059539339208584,-0.04105953933920847,-0.0491534169862331
1990-05-09,-0.041690212669049376,-0.04169021266904893,-0.046790338835135614
1990-05-10,-0.03889158112387392,-0.03889158112387392,-0.04412131282345877
1990-05-11,-0.03697328748664619,-0.03697328748664597,-0.021379527896829287
1990-05-14,-0.03340922586523831,-0.03340922586523787,-0.013734055458523242
1990-05-15,-0.0335007761162639,-0.033500776116263675,-0.015040739596289154
1990-05-16,-0.031517220122436296,-0.031517220122436074,-0.015819184305334022
1990-05-17,-0.029511087935947145,-0.029511087935947145,-0.014512500167567999
1990-05-18,-0.026667519578318144,-0.026667519578317922,-0.014039833630882681
1990-05-21,-0.02008654876176974,-0.02008654876176974,-0.004698497122343381
1990-05-22,-0.01765654607157996,-0.01765654607157985,-0.0035030436127581055
1990-05-23,-0.022927336563917655,-0.022927336563917322,-0.001112051749478038
1990-05-24,-0.020151187373277923,-0.020151187373277812,-0.0035586165047936102
1990-05-25,-0.024076564857113736,-0.024076564857113625,-0.014206721995208671
1990-05-29,-0.019621848441125467,-0.019621848441125356,0.0
1990-05-30,-0.019402707294853494,-0.01940270729485316,0.0
1990-05-31,-0.021672676675477343,-0.02167267667547723,0.0
1990-06-01,-0.018619199617936344,-0.018619199617936233,0.0
1990-06-04,-0.020182359620504076,-0.020182359620504187,0.0
1990-06-05,-0.020198714628645087,-0.020198714628644754,-0.002068533643636905
1990-06-06,-0.018738650264618628,-0.018738650264618517,-0.006641269684108164
1990-06-07,-0.024471744093765402,-0.02447174409376518,-0.01156777373599338
1990-06-08,-0.026658375557845004,-0.02665837555784456,-0.02365270164880462
1990-06-11,-0.02391736957156143,-0.02391736957156132,-0.01570492408689972
1990-06-12,-0.019769992460987762,-0.01976999246098754,-0.0031300868687772487
1990-06-13,-0.02164137277587408,-0.021641372775873746,-0.006804572785878316
1990-06-14,-0.026620125111663895,-0.026620125111663673,-0.012248231014581279
1990-06-15,-0.025335620944698545,-0.025335620944698323,-0.012220986143075208
1990-06-18,-0.029279536378440718,-0.029279536378440496,-0.02863361238006934
1990-06-19,-0.029924365921393137,-0.029924365921393026,-0.024305914055886446
1990-06-20,-0.0309093676032971,-0.030909367603296878,-0.0225911484236635
1990-06-21,-0.02827604250966742,-0.028276042509667088,-0.018862255827183372
1990-06-22,-0.03095617131590611,-0.030956171315906,-0.03258029782133187
1990-06-25,-0.030224260473495135,-0.030224260473494913,-0.04107239136792751
1990-06-26,-0.033364781002219956,-0.033364781002219734,-0.041752848646515295
1990-06-27,-0.03102437334077901,-0.031024373340778788,-0.03336956845867822
1990-06-28,-0.026687284776918396,-0.026687284776918285,-0.026592240544305534
1990-06-29,-0.025048779985630487,-0.025048779985630487,-0.025530770382797385
1990-07-02,-0.021218754110068905,-0.021218754110068683,-0.021393536968258298
1990-07-03,-0.017882128282138532,-0.01788212828213831,-0.019706016207541754
1990-07-05,-0.021729327394739206,-0.021729327394738984,-0.031899840542744085
1990-07-06,-0.019451116142492397,-0.019451116142492397,-0.02444197228615097
1990-07-09,-0.018887420405939936,-0.018887420405939714,-0.02144802671127044
1990-07-10,-0.02410879559456891,-0.0241087955945688,-0.029695165605210128
1990-07-11,-0.021302721106317146,-0.021302721106316924,-0.01679363911991405
1990-07-12,-0.02050867523200306,-0.020508675232002838,-0.005334761806311428
1990-07-13,-0.010304358319628837,-0.010304358319628393,-0.00024495465265561567
1990-07-16,-0.009332256502212366,-0.009332256502212255,0.0
1990-07-17,-0.015600829884499512,-0.015600829884499401,-0.0038759266731153152
1990-07-18,-0.01971902829406247,-0.019719028294062246,-0.012820194687170994
1990-07-19,-0.019738448311450107,-0.019738448311449885,-0.00983874444426247
1990-07-20,-0.023163318737567606,-0.023163318737567495,-0.019894366750556114
1990-07-23,-0.028432952556554758,-0.028432952556554758,-0.036969817582723774
1990-07-24,-0.028157142423836268,-0.028157142423836268,-0.03566879855454497
1990-07-25,-0.02254497942984912,-0.022544979429848788,-0.03214531908589746
1990-07-26,-0.025562821196998597,-0.025562821196998264,-0.0353435644761676
1990-07-27,-0.029424684704535076,-0.029424684704535076,-0.04203824163833314
1990-07-30,-0.03159652032841631,-0.03159652032841609,-0.03631934942596882
1990-07-31,-0.028829324779215182,-0.02882932477921485,-0.03469309631941264
1990-08-01,-0.03199612237500782,-0.031996122375007596,-0.03640065794556324
1990-08-02,-0.030478687486963252,-0.030478687486963252,-0.04735059125272567
1990-08-03,-0.041576443532591156,-0.04157644353259082,-0.06529347081834802
1990-08-06,-0.05413528693133374,-0.054135286931333515,-0.09356286323112972
1990-08-07,-0.05150272697158087,-0.05150272697158076,-0.09247872206498209
1990-08-08,-0.045459355278696045,-0.04545935527869571,-0.08293808128767599
1990-08-09,-0.04166053926067537,-0.041660539260675145,-0.07862856431983689
1990-08-10,-0.041628359055669084,-0.04162835905566897,-0.09060854339964286
1990-08-13,-0.029983583528255253,-0.02998358352825503,-0.08161001456274486
1990-08-14,-0.022793864924908536,-0.022793864924908536,-0.08011924808395643
1990-08-15,-0.031499381898993484,-0.03149938189899326,-0.0783033302414593
1990-08-16,-0.03627045323385314,-0.036270453233852806,-0.0990920079928842
1990-08-17,-0.03784869990733175,-0.03784869990733175,-0.11145148197390975
1990-08-20,-0.04404154566623031,-0.04404154566623031,-0.10960835100532274
1990-08-21,-0.04716638427677888,-0.04716638427677855,-0.1276325390905393
1990-08-22,-0.05513346026702959,-0.05513346026702959,-0.14202472606142402
