,미국주식,한국주식,금,한국10년국채,미국10년국채
2000-01-31,-0.05982452048625775,-0.08414091741207097,-0.023944875107665742,0.0,-0.03251934668109735
2000-02-29,-0.008821728803298456,-0.13360768741574058,0.036533709848217466,0.0,0.022324022884563588
2000-03-31,0.07188917510921433,0.04710672382094172,-0.057551506895964444,0.0,0.0011694202601424397
2000-04-30,-0.031192642588360298,-0.15569749037197655,-0.006142728093947669,0.0,0.029484129784716595
2000-05-31,0.0020116203852234005,0.016774463267781536,-0.01017996727867665,0.0,-0.01029490359088836
2000-06-30,0.006281931699375187,0.126051355517371,0.0584022038567491,0.0,0.016998890149180212
2000-07-31,-0.01415754811821146,-0.14440296645586903,-0.039562727745965476,0.0,0.010377215918356164
2000-08-31,0.05761507049362935,-0.03144932967634717,0.0009033423667572649,0.0,0.014127840423514337
2000-09-30,-0.04932214582698524,-0.11751788839096922,-0.016888185036319503,0.0,0.013014605352785535
2000-10-31,0.016472387778487807,-0.1619746274938514,-0.03179828952101571,0.0,0.030799285054567083
2000-11-30,-0.01128400338655755,-0.008125007152557373,0.01963009560907447,0.03354116311906008,0.07520242757871753
2000-12-31,0.03564393435856772,-0.002047905939708383,0.007034408935763681,0.05448101184417853,0.08456035572187304
2001-01-31,0.0370394182754723,0.2309393091586096,-0.023529389325310235,0.044249622931344046,0.0033770934066386094
2001-02-28,-0.09768823638319069,-0.07489104534343283,0.0045180032450204965,0.023060911440601517,0.006388237154159038
2001-03-31,0.002038529471603212,-0.09675624877452715,-0.033358299489093635,-0.03658492307409267,0.08350151917983095
2001-04-30,0.07484671660081466,0.11187834371427385,0.023652602744783424,-0.04503471081243049,-0.024893818680954305
2001-05-31,-0.03350050815176231,0.050241539585554884,0.004924196185487784,0.017527264703766754,-0.04248395273515504
2001-06-30,-0.007838576102567663,-0.037981331695889464,0.019977454030954744,0.037386833514058804,0.029546239670544816
2001-07-31,-0.01019558055004155,-0.08497259358776466,-0.016260139679380448,0.028149621853559514,0.007482779942571183
2001-08-31,-0.07304941153235556,0.006569047326961286,0.030803836639480497,0.04532758991284447,0.010489164837406362
2001-09-30,-0.06875635028060378,-0.12622365103315947,0.06559766909758169,0.012615486309018209,0.03743182148329982
2001-10-31,0.008354130083646494,0.12782214587503393,-0.04411762710587208,-0.020239040529799968,0.011984947073675256
2001-11-30,0.05884590679097235,0.20454539191017806,-0.02003580001257832,-0.018842784814677715,-0.020233646669060246
2001-12-31,0.03763380787759529,0.08671751277349227,0.017524711272395743,-0.0035005507227380273,0.0005755762184287416
2002-01-31,-0.009120806895214106,0.06921923144268449,0.012199475233458879,-0.0005250763345133747,0.008822368410954073
2002-02-28,-0.010912083797530947,0.10355957741735278,0.05175471743222215,0.013022868317642544,0.021630525606941786
2002-03-31,0.03490986123886297,0.08984596905612219,0.01988538474466761,-0.006154821641816466,-0.02282284248786748
2002-04-30,-0.08081563932794245,-0.04873030335030304,0.02081952302014689,-0.0031389243433662672,-0.014492491142189312
2002-05-31,-0.06331935022114965,-0.052542498072751354,0.0569763886412169,0.0209457757830096,-0.049992235907258986
2002-06-30,-0.08466942492081342,-0.07053571820529403,-0.039816232771822335,0.029615481022256862,0.010297527519447458
2002-07-31,-0.09563887008021665,-0.03767743288836545,-0.03285482549591312,0.02159739690444562,0.007560921304973656
2002-08-31,0.022886533096453388,0.026508421612374544,0.030342946302954532,0.02752062247732101,0.05190519144570516
2002-09-30,-0.08563733648640581,-0.12079956711534046,0.036811780488736456,0.011107211553438745,0.05786718856819184
2002-10-31,0.07902263767247364,0.021260853743939823,-0.01821548011010443,0.00883385922574953,-0.005520792027077781
2002-11-30,0.03973587827153757,0.10770162144375872,-0.0037736232925511537,0.0283664067077789,-0.02624065370660078
2002-12-31,-0.06632924462884826,-0.13231939056348774,0.09722228376686348,0.007088867867820259,-0.005388564221499692
2003-01-31,-0.04210833621878918,-0.05821962396361502,0.059551154562663244,0.030779535599130936,-0.01625886860896808
2003-02-28,0.010824532480925741,-0.031507613774535925,-0.04914465431943482,0.026195999797613112,0.040719870178085094
2003-03-31,0.05108397376230034,-0.06588875117229287,-0.04083386011446788,0.0004309390790140366,0.060037208556271926
2003-04-30,0.05299194240117666,0.1234385528255666,0.00952668134914414,0.01756536526980801,-0.03799997854108905
2003-05-31,0.050063308568410125,0.053368240600675465,0.07490413871809443,0.031889590954395475,0.031169734848407238
2003-06-30,-0.0010418726603454997,0.0613436299054837,-0.05075445816186552,0.021493661970760414,0.01140691263678395
2003-07-31,0.005258575279305067,0.07078501621569888,0.023121387283236983,-0.03456713115599408,-0.06232794497811567
2003-08-31,0.015441418921585681,0.06632429979753596,0.06129946951138776,-0.019744107432965396,-0.039194001317890304
2003-09-30,-0.031782567468770506,-0.08238542461150988,0.02581842260922773,0.04299497544144537,-0.0032565623122565723
2003-10-31,0.08448582678400673,0.13277497470074118,-0.002335220318467668,-0.0038676541614683924,0.03138921596147837
2003-11-30,0.026375161790449964,0.02139193727049382,0.03198956513125806,-0.032744535320881174,0.018098634977853356
2003-12-31,0.04148872343104193,0.015442510034704426,0.04763111137978071,-0.0016525377880306502,-0.002448019306519833
2004-01-31,0.004370537360949056,0.05398726693852862,-0.03247534184164658,0.005289216476548786,-0.0020029339896366904
2004-02-29,0.017887183569808673,0.045360256172626734,-0.01442073131405408,0.0037528077764961143,0.013457257682957025
2004-03-31,-0.04027861514978359,0.0005176431067641651,0.07795154987957331,0.0176145105277552,-0.004045876376070567
2004-04-30,0.004093662386593033,-0.030867405823718386,-0.09431310307571206,0.005153666306096705,-0.01605992911133547
2004-05-31,0.009669560140334266,-0.0734875624919693,0.01808785529715773,0.011337400249989749,-0.03274032733601806
2004-06-30,0.010633699334705593,-0.02198963826530398,-0.00355328400122934,0.01598635145455085,-0.0046057665590668595
2004-07-31,-0.020498313932404866,-0.06460482994240391,-0.004075410286911052,0.014365623257408089,0.03468073096349711
2004-08-31,-0.012986344442732944,0.07998323727385803,0.04961635267643061,0.04832525574842794,0.005780598271341697
2004-09-30,0.010037175907853468,0.04665179395696195,0.020224216457080058,0.019037769909854285,0.01575366287498081
2004-10-31,-0.015251122204016476,0.0027857314101791264,0.023405749957616573,0.010790423810030036,-0.022058594960733147
2004-11-30,-0.022629932497958083,0.050097266127684836,0.053208839656869955,0.01074736641716667,-0.06791110578643422
2004-12-31,0.01744077534718058,0.016313919305361857,-0.030578303049499378,0.012358720229370013,-0.012054944028756509
2005-01-31,-0.03021241737485969,0.050412126321854656,-0.03588574218749996,-0.04246248489029414,-0.0036708282111845847
2005-02-28,-0.004945271320440536,0.08086906279824979,0.034850670062718025,-0.03237579511595645,-0.0179406668045603
2005-03-31,-0.004021174199966393,-0.046389048842815916,-0.01786938784185277,0.012734586323589703,-0.008659887437459601
2005-04-30,-0.03651686364127371,-0.05770153084371399,0.014695562429623443,0.010302944446830553,-0.001803031307530567
2005-05-31,0.04050757658775561,0.06174514708094225,-0.04298853380926726,0.025541878807683105,0.028041594530331615
2005-06-30,0.03091297740678689,0.036767033583270825,0.047081447701754264,0.0004844857022860971,0.04468648304128364
2005-07-31,0.030232143804324485,0.10731681553310146,-0.013764625106704731,-0.02997482373354199,-0.018902098474831375
2005-08-31,0.002688907470488111,-0.02253705568840214,0.009071863112013467,-0.010678899677066034,0.009165139700139768
2005-09-30,0.011323338719217313,0.12463421493533677,0.08114341447107298,-0.0011844166160700498,0.011708311635363566
2005-10-31,-0.022620120270751665,-0.05528407835705218,-0.00831555201809031,-0.011802043068409929,-0.01625550054632252
2005-11-30,0.03784971921350189,0.11495566401056023,0.06342721912034177,-0.019693269935215585,-0.008486823266105059
2005-12-31,-0.02827520316652532,0.06917743861796843,0.04549124384303549,0.010795870080221093,-0.0172812518413481
2006-01-31,-0.027794733699474272,0.018148009658023545,0.10384841373504727,0.006183715195769102,-0.043254000686587135
2006-02-28,0.018311460222442344,-0.017713794942477823,-0.01611775123297332,0.027727452573024003,0.004161564005896734
2006-03-31,0.017027210972258455,-0.006987828998028522,0.03596868426847033,-0.006299030671682138,-0.00752881061513766
2006-04-30,-0.017182044566968258,0.044776114233173736,0.12031626240753579,0.0022272333189206073,-0.046059915424008224
2006-05-31,-0.027549104941621105,-0.07110272223086966,-0.014268161962474157,0.023845304604929618,-0.0025087236862582074
2006-06-30,0.006002068624297641,-0.02081748244516457,-0.045136186770427966,0.0004816684695163609,0.0076579172396769035
2006-07-31,0.011256605133401543,0.006330233370630545,0.03374085119320491,0.011337400249989749,0.012597346738972615
2006-08-31,0.028455969190897212,0.041125204204366606,-0.013087334647132187,0.021496773734000607,0.027330693032691755
2006-09-30,0.010866711694492048,0.014876884256902922,-0.04361726755591999,0.008034281829481627,0.0007309105949759864
2006-10-31,0.0273728107631368,-0.00679588145536536,0.009188105954425207,0.011947451862071912,-0.0008856993373345112
2006-11-30,0.0055973751462146115,0.045917272925416475,0.07084928084397246,-0.005401713363617389,5.904887331475983e-05
2006-12-31,0.014461963909364384,0.0023247873062983704,-0.01808627572340671,0.0009664586811433118,0.008100929153248115
2007-01-31,0.027046522674839313,-0.05070388870722031,0.026448342994510377,-0.0028768880356195847,-0.00028092890084174815
