Date,gross,min,base,conservative
2016-11-01,1.0,0.998,0.995,0.99
2016-11-02,0.975375,0.97342425,0.970498125,0.96562125
2016-11-03,0.9819827040000001,0.9800187385920001,0.9770727904800001,0.97216287696
2016-11-04,0.9899544280940502,0.9879745192378621,0.9850046559535799,0.9800548838131096
2016-11-07,1.0072369754306698,1.0052225014798084,1.0022007905535164,0.997164605676363
2016-11-08,1.006176787910985,1.0041644343351632,1.00114590397143,0.9961150200318752
2016-11-09,0.9707903446552316,0.9688487639659212,0.9659363929319553,0.9610824412086793
2016-11-10,1.0054791810660597,1.0034682227039278,1.0004517851607293,0.9954243892553991
2016-11-11,1.0252861229722539,1.0232355507263096,1.0201596923573923,1.0150332617425313
2016-11-14,1.035709948250095,1.0336385283535952,1.0305313985088445,1.0253528487675942
2016-11-15,1.0303895819391118,1.0283288027752338,1.025237634029416,1.0200856861197207
2016-11-16,1.039208837343788,1.0371304196691007,1.0340127931570688,1.0288167489703504
2016-11-17,1.0372670252623017,1.0351924912117774,1.03208069013599,1.026894355009679
2016-11-18,1.0302272040488154,1.0281667496407179,1.025076068028571,1.0199249320083275
2016-11-21,1.0215016330087414,1.0194586297427242,1.0163941248436976,1.0112866166786543
2016-11-22,1.0274825218708408,1.0254275568270992,1.0223451092614864,1.0172076966521326
2016-11-23,1.0207026506118195,1.018661245310596,1.0155991373587603,1.0104956241057017
2016-11-24,1.0082996358099174,1.0062830365382978,1.0032581376308676,0.9982166394518186
2016-11-25,1.0091846977449295,1.0071663283494396,1.0041387742562045,0.9990928507674804
2016-11-28,0.9997894532454168,0.9977898743389261,0.9947905059791894,0.9897915587129629
2016-11-29,1.0078012325910082,1.0057856301258263,1.002762226428053,0.9977232202650984
2016-11-30,1.0113485684678376,1.0093258713309021,1.0062918256254982,1.0012350827831595
2016-12-01,1.0154393315588124,1.013408452895695,1.0103621349010181,1.0052849382432247
2016-12-02,1.012136185820983,1.0101119134493415,1.007075504891878,1.0020148239627737
2016-12-05,0.9968840737284423,0.9948903055809859,0.9918996533598001,0.9869152329911585
2016-12-06,1.0182734553348556,1.0162369084241865,1.0131820880581814,1.0080907207815077
