corp_code,stock_code,status,reports_found,error,updated_at_utc
00149293,000010,OK,60,,2026-08-31T21:40:40.747004+00:00
00129411,000360,OK,60,,2026-08-31T21:40:40.747004+00:00
00119195,000020,OK,60,,2026-08-31T21:40:40.747004+00:00
00254045,000030,OK,60,,2026-08-31T21:40:40.747004+00:00
00112378,000040,OK,59,,2026-08-31T21:40:40.747004+00:00
00101628,000050,OK,60,,2026-08-31T21:40:40.747004+00:00
00117744,000060,OK,60,,2026-08-31T21:40:40.747004+00:00
00126937,000070,OK,60,,2026-08-31T21:40:40.747004+00:00
00150244,000080,OK,60,,2026-08-31T21:40:40.747004+00:00
00145109,000100,OK,60,,2026-08-31T21:40:40.747004+00:00
00148504,000110,OK,60,,2026-08-31T21:40:40.747004+00:00
00113410,000120,OK,60,,2026-08-31T21:40:40.747004+00:00
00148993,000140,OK,60,,2026-08-31T21:40:40.747004+00:00
00117212,000150,OK,60,,2026-08-31T21:40:40.747004+00:00
00133335,000180,OK,60,,2026-08-31T21:40:40.747004+00:00
00111713,000200,OK,11,,2026-08-31T21:40:40.747004+00:00
00109693,000210,OK,60,,2026-08-31T21:40:40.747004+00:00
00144818,000220,OK,60,,2026-08-31T21:40:40.747004+00:00
00146083,000230,OK,60,,2026-08-31T21:40:40.747004+00:00
00160047,000240,OK,60,,2026-08-31T21:40:40.747004+00:00
00106641,000270,OK,59,,2026-08-31T21:40:40.747004+00:00
00126089,000300,OK,60,,2026-08-31T21:40:40.747004+00:00
00135917,000370,OK,60,,2026-08-31T21:40:40.747004+00:00
00110963,000380,OK,15,,2026-08-31T21:40:40.747004+00:00
00129387,000390,OK,60,,2026-08-31T21:40:40.747004+00:00
00101257,000800,OK,60,,2026-08-31T21:40:40.747004+00:00
00146719,001590,OK,59,,2026-08-31T21:40:40.747004+00:00
00149026,000590,OK,60,,2026-08-31T21:40:40.747004+00:00
00113562,000400,OK,60,,2026-08-31T21:40:40.747004+00:00
00120377,000420,OK,60,,2026-08-31T21:40:40.747004+00:00
00111847,000430,OK,60,,2026-08-31T21:40:40.747004+00:00
00149770,000440,OK,60,,2026-08-31T21:40:40.747004+00:00
00104971,000470,OK,50,,2026-08-31T21:40:40.747004+00:00
