Date,Open,High,Low,Close,Adj Close,Volume
2002-07-30,81.75,81.9000015258789,81.5199966430664,81.5199966430664,35.55564498901367,6100
2002-07-31,81.94999694824219,82.80000305175781,81.9000015258789,82.52999877929688,35.99617004394531,29400
2002-08-01,82.54000091552734,83.0199966430664,82.54000091552734,83.0,36.201171875,25000
2002-08-02,83.16000366210938,84.0999984741211,82.87999725341797,83.8499984741211,36.57188034057617,52800
2002-08-05,84.04000091552734,84.44000244140625,83.8499984741211,84.22000122070312,36.7332763671875,61100
2002-08-06,83.87000274658203,83.9000015258789,83.22000122070312,83.5,36.41923141479492,64900
2002-08-07,83.5999984741211,84.13999938964844,83.36000061035156,83.69999694824219,36.506492614746094,40300
2002-08-08,83.58000183105469,83.7699966430664,83.36000061035156,83.69999694824219,36.506492614746094,40900
2002-08-09,84.0,84.87999725341797,84.0,84.87999725341797,37.021148681640625,35900
2002-08-12,85.30000305175781,86.69999694824219,85.13999938964844,85.4000015258789,37.24795150756836,32100
2002-08-13,85.77999877929688,86.47000122070312,85.37000274658203,86.44999694824219,37.70591735839844,75400
2002-08-14,87.45999908447266,87.9000015258789,86.75,86.77999877929688,37.84983825683594,130000
2002-08-15,86.37999725341797,86.5,85.8499984741211,86.0199966430664,37.51838684082031,87100
2002-08-16,86.44000244140625,86.5199966430664,84.81999969482422,85.05999755859375,37.09965896606445,85000
2002-08-19,85.05000305175781,85.33999633789062,84.70999908447266,85.31999969482422,37.21305465698242,47300
2002-08-20,85.62000274658203,86.29000091552734,85.5999984741211,86.2699966430664,37.627418518066406,40800
2002-08-21,85.68000030517578,86.0999984741211,85.62999725341797,85.80999755859375,37.426761627197266,40000
2002-08-22,85.55000305175781,85.55000305175781,85.05999755859375,85.05999755859375,37.09965896606445,34400
2002-08-23,85.19999694824219,85.94999694824219,85.19999694824219,85.9000015258789,37.46602249145508,20100
2002-08-26,85.69999694824219,86.20999908447266,85.66999816894531,85.9800033569336,37.50094985961914,23900
2002-08-27,85.4000015258789,85.68000030517578,85.19999694824219,85.44000244140625,37.2653923034668,301800
2002-08-28,86.04000091552734,86.18000030517578,85.83999633789062,85.87000274658203,37.45293426513672,18100
2002-08-29,86.76000213623047,86.86000061035156,86.3499984741211,86.55999755859375,37.75387191772461,135700
2002-08-30,86.75,87.12999725341797,86.44999694824219,87.08000183105469,37.98069381713867,78100
2002-09-03,87.08000183105469,88.04000091552734,87.0,88.04000091552734,38.56459045410156,102100
2002-09-04,88.02999877929688,88.30000305175781,87.83999633789062,88.0199966430664,38.555850982666016,66300
2002-09-05,88.56999969482422,88.6500015258789,87.37999725341797,88.5,38.76606750488281,648400
2002-09-06,87.97000122070312,88.19000244140625,87.19999694824219,87.45999908447266,38.31052780151367,140000
2002-09-09,87.5,87.83000183105469,87.26000213623047,87.33000183105469,38.253578186035156,83800
2002-09-10,87.16999816894531,88.0,87.0,87.75,38.43757629394531,336000
2002-09-11,87.0,87.30000305175781,86.75,87.29000091552734,38.23606872558594,177700
2002-09-12,87.4800033569336,88.13999938964844,87.47000122070312,87.97000122070312,38.533912658691406,43400
