Date,Top20_Gross,Top20_Minimum,Top20_Base,Top20_Conservative,KOSPI
2016-11-01,1.0,0.99985,0.99785,0.9948,0.9996016313197457
2016-11-02,0.966475,0.96633002875,0.96439707875,0.96144933,0.9854346451282
2016-11-03,0.97562386,0.9754775164209999,0.973526268701,0.970550615928,0.9878547348607452
2016-11-04,0.9847301441049,0.9845824345832842,0.9826129742950744,0.9796095473555545,0.9869683645471793
2016-11-07,1.002719983599919,1.002569575602379,1.000564135635179,0.9975058396851993,0.9947166353781265
2016-11-08,1.003026664602814,1.0028762106031235,1.0008701572739178,0.9978109259468793,0.9976048083099707
2016-11-09,0.9584573847077925,0.9583136161000861,0.9563967013306706,0.9534734063073118,0.9751965700456631
2016-11-10,0.9906366995632597,0.9904881040583251,0.9885068306591985,0.9854853887255306,0.9972163988467226
2016-11-11,1.0041097071828113,1.0039590907267337,1.0019508713123682,0.9988883367054605,0.9881684501964456
2016-11-14,1.0127943309170617,1.012642411767424,1.0106168231055899,1.0075278003962929,0.9831739028677565
2016-11-15,1.0073322892108976,1.0071811893675158,1.005166524789094,1.002094161307001,0.9797529118260722
2016-11-16,1.0171530331886225,1.017000460233644,1.0149661541672668,1.0118638374160416,0.9857881973319258
2016-11-17,1.017410880461211,1.0172582688291416,1.0152234470682193,1.0121203438828128,0.9862363620972119
2016-11-18,1.014075627816891,1.0139235164727183,1.0118953652170848,1.0088024345522433,0.9832635358208137
2016-11-21,1.0061138207951386,1.005962903722019,1.003950676080429,1.000882028927004,0.9790159297676017
2016-11-22,1.0140849863563535,1.0139328736083997,1.0119047036356874,1.0088117444273006,0.9876904077801403
2016-11-23,1.0022468694429614,1.0020965324125446,1.0000920386736591,0.9970351857218581,0.9899212723895647
2016-11-24,0.9866394268416554,0.9864914309276288,0.9845181520739459,0.9815089018220788,0.9816103057977581
2016-11-25,0.9880399077513167,0.9878917017651536,0.9859156219496514,0.9829021002310099,0.9832037805187757
2016-11-28,0.978059152608018,0.9779124437351264,0.9759563254299108,0.9729732450144564,0.9850312968394425
2016-11-29,0.9824491647094858,0.982301797334779,0.9803368990053605,0.9773404290529966,0.9851607666605252
2016-11-30,0.9825587465470892,0.9824113627351067,0.980446245242013,0.9774494410650444,0.9876953873886435
2016-12-01,0.9870322627535764,0.9868842079141629,0.9849101433886562,0.9818996949872579,0.9878298368182293
2016-12-02,0.9856635386507495,0.9855156891199515,0.9835443620426505,0.9805380882497657,0.9812866312450514
2016-12-05,0.969070910911468,0.968925550274831,0.9669874084530085,0.9640317421747285,0.9776764150802463
2016-12-06,0.9929952176099422,0.9928462683273004,0.990860277892081,0.9878316424783706,0.990872377613672
2016-12-07,0.9882955849846982,0.9881473406469501,0.9861707494769811,0.9831564479427778,0.9918832381398175
2016-12-08,1.0053042369366636,1.0051534413011227,1.0031428328272498,1.000076654904593,1.0113933442552745
2016-12-09,1.0102297909391582,1.010078256470517,1.008057796888639,1.0049765960262746,1.0082163540302462
2016-12-12,1.0217598493513915,1.0216065853739884,1.019563065675286,1.0164466981347644,1.009486154198557
2016-12-13,1.0192582043797995,1.019105315649142,1.017066799240383,1.0139580617170247,1.0138383320303357
2016-12-14,1.0136686539764002,1.0135166036783032,1.011489266370351,1.0083975769757232,1.0142815171871187
2016-12-15,1.0260287538293285,1.0258748495162535,1.0238227920085954,1.0206934043094162,1.0141719658000488
2016-12-16,1.018399162771322,1.0182464028969058,1.0162096045713638,1.0131034871249116,1.0169555669533261
2016-12-19,1.015831374371514,1.015678999665358,1.0136473369166155,1.0105490512247826,1.0150384176796021
2016-12-20,1.0135414999948331,1.0133894687698337,1.0113623857698446,1.0082710841948606,1.0168061786982308
2016-12-21,1.0159700762649075,1.0158176807534676,1.0137857406009383,1.0106870318683305,1.0148242945139654
2016-12-22,1.0125126370870938,1.0123607601915305,1.0103357349173567,1.0072475713742415,1.0137138418177563
2016-12-23,1.012344695179137,1.01219284347486,1.0101681540845022,1.0070805027642062,1.0137984951623105
2016-12-26,1.0021979019820841,1.0020475722967868,1.000043176492823,0.9969864728917781,1.0147197227353986
2016-12-27,1.00639104371612,1.0062400850595625,1.0042273029721307,1.001157810288797,1.016920709693804
2016-12-28,1.0102110342795467,1.0100595026244046,1.008039080555846,1.0049579369012938,1.0081167618601825
2016-12-29,1.0090924795134604,1.008941115641533,1.0069229306825065,1.003845198619991,1.0090977447353089
2017-01-02,1.0145023891693148,1.0143502138109393,1.0123212090326008,1.009226976745635,1.0089483564802135
2017-01-03,1.0372945522342671,1.0371389580514319,1.0350643689469634,1.0319006205626495,1.0178170392243762
2017-01-04,1.0525042833731602,1.0523464077306541,1.050241399163908,1.0470312610996204,1.0186486338444072
2017-01-05,1.0523092899162299,1.0521514435227424,1.05004682494291,1.0468372816086662,1.0168111583067339
2017-01-06,1.0522432449177532,1.0520854084310156,1.0499809219411802,1.0467715800441817,1.0203815376035135
2017-01-09,1.0395181473542363,1.0393622196321333,1.037283183337425,1.0341126529879952,1.0202122309144055
2017-01-10,1.0331966381364406,1.0330416586407203,1.0309752653644475,1.027824015618132,1.0183896942022417
2017-01-11,1.0457379933689026,1.0455811326698976,1.0434896566831597,1.0403001558033853,1.0333534177542962
2017-01-12,1.0565438210838043,1.0563853395106422,1.0542722518684744,1.0510497932141696,1.0393140091326019
2017-01-13,1.054955136682965,1.054796893412463,1.0526869831390968,1.0494693699722146,1.034160114331811
2017-01-16,1.036860236600081,1.0367047075645914,1.034630987091391,1.0314685633697616,1.0278758484007988
2017-01-17,1.0366519124299587,1.0364964146430946,1.0344231108182345,1.031261322485324,1.0317101469482468
2017-01-18,1.0419652340297827,1.0418089392446788,1.039725008776619,1.036547014812829,1.031047859017324
